"area_name","area_code","date","new_cases","total_cases"
"Camden","E09000007",2020-09-15,10,950
"Croydon","E09000008",2020-09-15,7,2155
"Ealing","E09000009",2020-09-15,2,2010
"Enfield","E09000010",2020-09-15,7,1556
"Greenwich","E09000011",2020-09-15,4,1181
"Hackney and City of London","E09000012",2020-09-15,12,1354
"Hammersmith and Fulham","E09000013",2020-09-15,5,1040
"Haringey","E09000014",2020-09-15,8,1088
"Harrow","E09000015",2020-09-15,5,1598
"Havering","E09000016",2020-09-15,12,1305
"Hillingdon","E09000017",2020-09-15,11,1484
"Hounslow","E09000018",2020-09-15,10,1505
"Islington","E09000019",2020-09-15,12,785
"Kensington and Chelsea","E09000020",2020-09-15,10,808
"Kingston upon Thames","E09000021",2020-09-15,4,897
"Lambeth","E09000022",2020-09-15,12,1770
"Lewisham","E09000023",2020-09-15,9,1480
"Merton","E09000024",2020-09-15,5,1105
"Newham","E09000025",2020-09-15,13,1724
"Redbridge","E09000026",2020-09-15,28,1579
"Richmond upon Thames","E09000027",2020-09-15,4,751
"Southwark","E09000028",2020-09-15,8,1793
"Sutton","E09000029",2020-09-15,1,1149
"Tower Hamlets","E09000030",2020-09-15,6,1232
"Waltham Forest","E09000031",2020-09-15,13,1328
"Wandsworth","E09000032",2020-09-15,5,1612
"Westminster","E09000033",2020-09-15,11,1084
"Barking and Dagenham","E09000002",2020-09-16,9,1033
"Barnet","E09000003",2020-09-16,12,2133
"Bexley","E09000004",2020-09-16,2,1255
"Brent","E09000005",2020-09-16,9,2104
"Bromley","E09000006",2020-09-16,4,1786
"Camden","E09000007",2020-09-16,5,955
"Croydon","E09000008",2020-09-16,8,2163
"Ealing","E09000009",2020-09-16,13,2023
"Enfield","E09000010",2020-09-16,13,1569
"Greenwich","E09000011",2020-09-16,6,1187
"Hackney and City of London","E09000012",2020-09-16,5,1359
"Hammersmith and Fulham","E09000013",2020-09-16,8,1048
"Haringey","E09000014",2020-09-16,11,1099
"Harrow","E09000015",2020-09-16,8,1606
"Havering","E09000016",2020-09-16,9,1314
"Hillingdon","E09000017",2020-09-16,23,1507
"Hounslow","E09000018",2020-09-16,9,1514
"Islington","E09000019",2020-09-16,12,797
"Kensington and Chelsea","E09000020",2020-09-16,5,813
